PERSON_ID,COURSE_CD,COURSE_TITLE,RESPONSIBLE_ORG_UNIT,RESEARCH_ORG_UNIT,TITLE,COURSE_ATTEMPT_STATUS,FEE_CAT,COURSE_TOTAL_EFTSU,CURRENT_EFTSU,RES_EFTSU_TO_DATE,HIGH_COST_LOW_COST,RFCD_1_DESC,RFCD_1_PRCNT,SEO_1_CODE,SEO_1_DESC,SEO_1_PRCNT
3029461,887AA,Master of Pharmacy (Research),FCY-HLT,FCY-HLT,Mr,COMPLETED,INT-11,2,0.5,1,HIGHCOST,PHARMACEUTICAL SCIENCES AND PHARMACY,100,730306,EVALUATION OF HEALTH OUTCOMES,100
3029468,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,FCY-ETM,Mr,INACTIVE,INT-08,3,0.5,5.125,LOWCOST,ARTIFICIAL INTELLIGENCE AND SIGNAL AND IMAGE PROCESSING,100,700100,COMPUTER SOFTWARE AND SERVICES,100
3029493,246AA,Doctor of Philosophy in Communication,FCY-AAD,FCY-AAD,Ms,ENROLLED,DOM-08,3,0.5,6.5,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3029499,887AA,Master of Pharmacy (Research),FCY-HLT,FCY-HLT,Ms,DISCONTIN,DOM-08,2,0,1,HIGHCOST,NATUROPATHY,100,730211,MENTAL HEALTH,100
3029704,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BAG,Mrs,COMPLETED,INT-09,3,0.5,3,LOWCOST,FINANCIAL ACCOUNTING,100,710401,FINANCE AND INVESTMENT SERVICES,100
3029719,244AD,Doctor of Philosophy in Economics,FCY-BGL,FCY-BGL,Ms,COMPLETED,INT-09,3,0.5,2.5,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3029719,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BAG,Ms,DISCONTIN,INT-09,3,0.5,2,LOWCOST,,,,,
3029745,324AA,Professional Doctorate in Public Administration (Research),FCY-BGL,FCY-BGL,Ms,INACTIVE,INT-10,3,0.5,5.25,LOWCOST,SOCIAL POLICY AND PLANNING,100,750305,ABILITY AND DISABILITY,100
3029776,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-EDU,Mr,DISCONTIN,DOM-08,3,0.25,3.25,LOWCOST,SOCIOLOGY OF EDUCATION,100,749999,EDUCATION AND TRAINING NOT ELSEWHERE CLASSIFIED,100
3029777,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,FCY-ETM,Mr,ENROLLED,DOM-11,3,0.5,4.5,LOWCOST,PATTERN RECOGNITION,100,700102,APPLICATION TOOLS AND SYSTEM UTILITIES,100
3029777,861AA,Master of Information Sciences (Research),FCY-ETM,FCY-ISE,Mr,COMPLETED,INT-09,2,0.5,2,LOWCOST,PATTERN RECOGNITION,100,700102,APPLICATION TOOLS AND SYSTEM UTILITIES,100
3029935,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,FCY-SCI,Ms,DISCONTIN,DOM-10,3,0.5,0.5,HIGHCOST,MEDICAL VIROLOGY,100,730101,INFECTIOUS DISEASES,100
3029947,921AA,Doctor of Philosophy in Government,FCY-BGL,FCY-BAG,Ms,DISCONTIN,DOM-08,3,0.25,0.5,LOWCOST,,,,,
3029967,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,IAE,Mr,COMPLETED,DOM-08,3,0.5,2,HIGHCOST,CONSERVATION AND BIODIVERSITY,100,779903,LIVING RESOURCES (FLORA AND FAUNA),100
3029967,910AA,Master of Applied Science (Research),FCY-ETM,IAE,Mr,DISCONTIN,DOM-08,2,0.5,1.5,HIGHCOST,CONSERVATION AND BIODIVERSITY,100,779903,LIVING RESOURCES (FLORA AND FAUNA),100
3029980,910AA,Master of Applied Science (Research),FCY-ETM,FCY-HLT,Mr,COMPLETED,DOM-08,2,0.5,2.5,HIGHCOST,TOXICOLOGY (INCL. CLINICAL TOXICOLOGY),100,730200,PUBLIC HEALTH,100
3030032,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BGL,Mr,COMPLETED,INT-09,3,0.5,4.5,LOWCOST,PUBLIC ADMINISTRATION,100,750605,PUBLIC SERVICES MANAGEMENT,100
3030040,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-ETM,Ms,ENROLLED,DOM-08,3,0.25,4.25,LOWCOST,"EDUCATIONAL POLICY, ADMINISTRATION AND MANAGEMENT",100,749906,EDUCATION POLICY,100
3030115,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-AAD,Mr,ENROLLED,DOM-08,3,0.25,3.5,LOWCOST,APPLIED LINGUISTICS AND EDUCATIONAL LINGUISTICS,100,740301,HIGHER EDUCATION,100
3030278,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BAG,Ms,DISCONTIN,DOM-08,3,0.25,1.335,LOWCOST,,,,,
3030278,853AA,Doctor of Philosophy in Management,FCY-BGL,FCY-BAG,Ms,DISCONTIN,DOM-08,3,0.25,1.71,LOWCOST,ORGANISATIONAL PLANNING AND MANAGEMENT,100,750605,PUBLIC SERVICES MANAGEMENT,100
3030292,246AA,Doctor of Philosophy in Communication,FCY-AAD,FCY-AAD,Ms,DISCONTIN,DOM-12,3,0.25,0.75,LOWCOST,,,,,
